city,year,month,day,hour,title,city_sector,address,intersection,postal_code,latitude,longitude
Ottawa,2017,9,16,,NAC Gala,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,9,20,,Beethoven’s Ninth,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,3,,Sibelius’s First Symphony,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,5,,Lintu and Hewitt,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,6,,Finland’s Rajaton In Concert,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,8,,Twin Flames: Tracks in the Snow ,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,11,,Finnish Legends,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,12,,Lapland Chamber Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,13,,Glenn Gould’s String Quartet,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,10,14,,Shelley and Storgårds,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,11,12,,Classy Brass!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,11,12,,China’s National Centre for the Performing Arts Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,11,16,,An American in Paris - Live!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,11,23,,Zukerman and Mozart,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,11,26,,Music for a Sunday Afternoon,Downtown/Central,380 Sussex Drive,380 Sussex Drive,K1N 9N4,,
Ottawa,2017,12,14,,Disney in Concert: A Dream is a Wish,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,12,20,,Joshua Bell’s Christmas,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,12,22,,Handel's Messiah,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,1,10,,Linnebach and Bartók,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,4,14,,Gregorian Chants for Meditation,Downtown/Central,100 Main Street,100 Main Street,K1S 1C2,,
Ottawa,2018,1,13,,The Firebird,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,1,14,,Rhythm and Dance,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,1,17,,Storgårds Conducts Rachmaninoff,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,1,21,,Music for a Sunday Afternoon,Downtown/Central,380 Sussex Drive,380 Sussex Drive,K1N 9N4,,
Ottawa,2018,1,31,,Alice Sara Ott Plays Grieg,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,2,3,,Symphony Hack Lab,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,2,8,,The Sounds of Simon and Garfunkel,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,2,11,,Celebrate Africa!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,2,20,,Tales of the Arabian Nights,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,2,27,,Lang Lang in Recital,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,3,1,,Classical Marsalis,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,3,4,,Music for a Sunday Afternoon - Branford Marsalis,Downtown/Central,380 Sussex Drive,380 Sussex Drive,K1N 9N4,,
Ottawa,2018,3,7,,A Baroque Chorus,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,3,15,,The Doo Wop Project,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,3,20,,Angela Hewitt’s Bach Odyssey,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,3,22,,Shelley and Brahms’s Second,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,4,4,,Brahms’s First Piano Concerto,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,4,8,,Amazing Strings Around the World,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,4,18,,Lortie Plays Mozart,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,4,21,,Vivaldi and the Four Seasons,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,4,26,,Best of Broadway,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,2,,Russian Masterpieces,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,6,,Music for a Sunday Afternoon - Alain Trudel,Downtown/Central,380 Sussex Drive,380 Sussex Drive,K1N 9N4,,
Ottawa,2018,5,7,,Toronto Symphony Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,10,,Mozart à la Haydn,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,17,,Let’s Dance,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,23,,"Emanuel Ax’s ""Emperor Concerto""",Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,25,,Vancouver Symphony Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2018,5,26,,Superheroes,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,4,18,,Urban Organic Gardening Seminars 2017,Downtown/Central,"110 Laurier Avenue, West","110 Laurier Avenue, West",K1P 1J1,,
Ottawa,2017,5,13,,Celebration!!,West Ottawa,20 Young Road,20 Young Road,K2L 1W1,,
Ottawa,2017,4,24,,Seven: A documentary play,East Ottawa,299 Montreal Rd.,299 Montreal Rd.,K1L 6B8,,
Ottawa,2017,4,23,,Ottawa Welcomes the World (Turkish Days) and Children's Day ,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,4,23,,Ottawa Welcomes the World (Turkish Days) and Children's Day ,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,4,30,,The Split - Matinee Concert,,420 Riverside Drive,420 Riverside Drive,J0X 3G0,,
Ottawa,2017,6,17,,Ottawa Craft Beer Run,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,4,28,,Roddy Ellias and Lorne Lofsky concert,Gatineau Sector,80 Chemin Summer,80 Chemin Summer,J8V 3J3,,
Ottawa,2017,5,13,,A Choral Celebration,East Ottawa,1111 Orleans Boulevard,1111 Orleans Boulevard,K1C 7C8,,
Ottawa,2017,4,22,,National Capital Network of Sculptors,East Ottawa,210 Blackburn avenue,210 Blackburn avenue,K1N 8A8,,
Ottawa,2017,5,25,,"Sister Act, The Musical",West Ottawa,101 Centrepointe Drive,101 Centrepointe Drive,K2G 5K7,,
Ottawa,2017,5,13,,Ste-Quequepart,Downtown/Central,454 King Edward Avenue,454 King Edward Avenue,K1N 7M8,,
Ottawa,2017,5,13,,Moonfruits present Ste-Quequepart,Downtown/Central,454 King Edward Avenue,454 King Edward Avenue,K1N 7M8,,
Ottawa,2017,4,23,,Canada’s Capital through the Years,East Ottawa,245 Centrum Boulevard,245 Centrum Boulevard,K1E 0A1,,
Ottawa,2017,5,13,,Science Odyssey Funfest,Downtown/Central,580 Booth Street,580 Booth Street,K1A 0E4,,
Ottawa,2017,5,8,,Trans-Canada:  Songs that Move Us,Downtown/Central,507 Bank Street,507 Bank Street,K2P 1Z5,,
Ottawa,2017,5,27,,Strings!,Downtown/Central,1830 Kilborn Ave,1830 Kilborn Ave,K1H 6N4,,
Ottawa,2017,5,19,,Heritage Trades: Can You Build It?,West Ottawa,16 Rowley Avenue,16 Rowley Avenue,K2G 1L9,,
Ottawa,2017,5,30,,Artistic Explorations by Erika Farkas,West Ottawa,"1701 Woodroffe Avenue, Nepean Sportsplex","1701 Woodroffe Avenue, Nepean Sportsplex",K2G 1W2,,
Ottawa,2017,6,3,,Make-A-Wish Rope For Hope,East Ottawa,200 Coventry Road,200 Coventry Road,K1K 4S3,,
Ottawa,2017,6,2,,Kitchi Blanket Exercise,Downtown/Central,Wellington Street,Wellington Street,K1A 0A9,,
Ottawa,2017,4,23,,"A Mix of Music for Recorders, Viols and Voices workshop",West Ottawa,630 Island Park Drive,630 Island Park Drive,K1Y 0B7,,
Ottawa,2017,5,5,,Ciné-club « Mustang »,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6,,
Ottawa,2017,5,19,,Ciné-club - Chocolat,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6,,
Ottawa,2017,4,30,,Ottawa Youth Orchestra: Concertos Galore!,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5,,
Ottawa,2017,5,6,,Kanata Symphony Orchestra Concert,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1,,
Ottawa,2017,5,4,,VASA SENSUM: Kye-Yeon Son Retrospective Exhibition - Artist Talk and Vernissage,Downtown/Central,150 Elgin Street,150 Elgin Street,K2P 1L4,,
Ottawa,2017,5,6,,Nature Awakens,West Ottawa,1500 Shea Rd.,1500 Shea Rd.,K2S 1B9,,
Ottawa,2017,4,25,,The Jenn Hayward Show Live!,Downtown/Central,292 Elgin Street,292 Elgin Street,K2P 1M3,,
Ottawa,2017,5,13,,Canada: Something to Sing About!,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1,,
Ottawa,2017,5,2,,Late Bloomers,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4,,
Ottawa,2017,10,1,,Raffi! 40 Years of Singable Songs!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,6,3,,Fire Fighter Day,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3,,
Ottawa,2017,6,21,,The Ottawa Humane Society Garden Party,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,5,16,,Signatures Series: Interview with Raymond Chrétien,Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4,,
Ottawa,2017,5,17,,"Running on Empty: Canada and the Indochinese Refugees, 1975–1980",Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4,,
Ottawa,2017,4,29,,All About the Tempo,Downtown/Central,650 Lyon Street South,650 Lyon Street South,K1S 3Z7,,
Ottawa,2017,5,26,,Venus & Adonis,Downtown/Central,15 Aylmer Avenue,15 Aylmer Avenue,K1S 3X1,,
Ottawa,2017,5,5,,Experience Mexico,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,6,3,,100in1day Festival ,Region Wide,-,-,K1A 0A4,,
Ottawa,2017,5,25,,Telfer 10 - Trivia Night,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,5,5,,Canterbury High School Community Fun Fair,Downtown/Central,900 Canterbury Avenue,900 Canterbury Avenue,K1G 3A7,,
Ottawa,2017,5,12,,Wakefield - La Pêche Writers Festival,Gatineau Park/Chelsea,-,-,J0X 3G0,,
Ottawa,2017,5,5,,"Kye-Yeon Son, A Retrosp​e​ctive Jewellery Exhibition​",Downtown/Central,13 Murray St.,13 Murray St.,K1N 9M5,,
Ottawa,2017,5,13,,Ottawa Dance Collective's Year-End Showcase:  In The News,Downtown/Central,133 Seraphin Marion,133 Seraphin Marion,K1N 6N5,,
Ottawa,2017,5,28,,Conférence - Découverte du fonds Église catholique-chrétienne,Gatineau Sector,855 Boulevard de la Gappe,855 Boulevard de la Gappe,J8T 8H9,,
Ottawa,2017,5,25,,Atelier-conférence: À la recherche d'actes notariés dans les bases de données,Gatineau Sector,855 Boulevard de la Gappe,855 Boulevard de la Gappe,J8T 8H9,,
Ottawa,2017,5,19,,Walking Out of War book signing,Downtown/Central,2269 Riverside Drive,2269 Riverside Drive,K1H 1A1,,
Ottawa,2017,6,7,,A Classical Treat,East Ottawa,39 Dufferin Road,39 Dufferin Road,K1M 2H3,,
Ottawa,2017,5,6,,Singers Master Class,Downtown/Central,953 Gladstone Ave.,953 Gladstone Ave.,K1Y 4W5,,
Ottawa,2017,5,13,,International Migratory Bird Day Event,South Ottawa,100 Brewer Way,100 Brewer Way,K1S 5T1,,
Ottawa,2017,4,28,,Crystal Beshara - Songs of the Sea,Downtown/Central,505 Industrial Avenue,505 Industrial Avenue,K1G 0Z1,,
Ottawa,2017,5,13,,Ballade to the Moon,Downtown/Central,355 Cooper Street,355 Cooper Street,K2P 0G8,,
Ottawa,2017,5,6,,Jay Dart: Meanwhile Back Over Yawnder,West Ottawa,358 Richmond Road,358 Richmond Road,K2A 0E8,,
Ottawa,2017,5,26,,"Red, White and Gold - an Amazing Concert with Chantal Kreviazuk",Downtown/Central,55 Colonel By Drive,55 Colonel By Drive,K1N 9J2,,
Ottawa,2017,6,3,,Red Trillium Studio Tour 2017,Rural West,-,-,K0A 2H0,,
Ottawa,2017,5,14,,Mother’s Day Family Picnic,West Ottawa,3080 Richmond Road,3080 Richmond Road,K2B 7V1,,
Ottawa,2017,5,27,,Saturday Explorers: Crafting in the Past,West Ottawa,16 Rowley Avenue,16 Rowley Avenue,K2G 1L9,,
Ottawa,2017,6,8,,Lauren & Amanda Do It,Downtown/Central,220 Elgin Street,220 Elgin Street,K2P 1L7,,
Ottawa,2017,5,12,,Fork in the Road,West Ottawa,101 Centrepointe Drive,101 Centrepointe Drive,K2G 5K7,,
Ottawa,2017,5,7,,Canadian Centennial Choir 50th anniversary concert ,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1,,
Ottawa,2017,5,25,,Plus Que du Théâtre,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6,,
Ottawa,2017,6,20,,Django Libre Concert for World Music Day,Downtown/Central,501 Old St. Patrick Street,501 Old St. Patrick Street,K1N 8R3,,
Ottawa,2017,6,3,,City of OM,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,5,13,,OWAA Celebrates Canada 150,West Ottawa,1500 Shea Rd.,1500 Shea Rd.,K2S 1B9,,
Ottawa,2017,8,31,,Gatineau Hot Air Balloon Festival,Gatineau Sector,988 St-Louis Street,988 St-Louis Street,J8T 2S4,,
Ottawa,2017,6,24,,Push For Your Tush - Ottawa,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,5,18,,In the Room,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
Ottawa,2017,6,1,,PAF-FAS Open House                                                                                                                                                          and Artist Research and Development Venue launch ,Gatineau Park/Chelsea,42 Chemin Plunkett,42 Chemin Plunkett,J0X 1T0,,
Ottawa,2017,5,28,,Heritage Power,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3,,
Ottawa,2017,5,26,,Claudia Salguero in concert,Gatineau Sector,80 Chemin Summer,80 Chemin Summer,J8V 3J3,,
Ottawa,2017,6,18,,Popular Mechanics,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3,,
Ottawa,2017,5,19,,TIMEKODE: May Edition,Downtown/Central,164 Laurier Avenue West,164 Laurier Avenue West,K1P 5J4,,
Ottawa,2017,7,21,,Animals Rock 2017,South Ottawa,4899 Uplands Drive,4899 Uplands Drive,K1V 2N6,,
Ottawa,2017,5,30,,Dominion,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4,,
Ottawa,2017,5,24,,Ateliers de danse intergénérationnels ado et 60 ans +,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,5,20,,Megan Jerome and the Together Ensemble,Gatineau Park/Chelsea,715 Chemin Riverside,715 Chemin Riverside,J0X 3G0,,
Ottawa,2017,6,16,,Megan Jerome and the Together Ensemble,Downtown/Central,692 Somerset St W,692 Somerset St W,K1R 6P4,,
Ottawa,2017,5,9,,WAVE,Downtown/Central,371 Preston Street,371 Preston Street,K1S 4M8,,
Ottawa,2017,6,18,,Vintage Car Show,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1,,
Ottawa,2017,6,4,,MELOG Latin Expo 2017,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3,,
Ottawa,2017,5,31,,Ottawa Riverkeeper Gala,Downtown/Central,River Street,River Street,K1Y 2C4,,
Ottawa,2017,6,3,,Songbird,Downtown/Central,355 Cooper Street,355 Cooper Street,K2P 0G8,,
Ottawa,2017,7,1,,Canada Day Tea,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1,,
Ottawa,2017,8,20,,Vintage Motorcycle Show,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1,,
Ottawa,2017,7,16,,Pride and Prejudice Garden Party,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1,,
Ottawa,2017,5,19,,Owl at Home,West Ottawa,35 Stafford Road,35 Stafford Road,K2H 8V8,,
Ottawa,2017,5,22,,Absolute 360,Downtown/Central,412 Preston Street,412 Preston Street,K1S 4M7,,
Ottawa,2017,8,13,,Nursing a Grudge,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3,,
Ottawa,2017,5,31,,Pints for Paws: A Night at the Speakeasy,Downtown/Central,14 Waller Street,14 Waller Street,K1N 9C4,,
Ottawa,2017,5,20,,Capital Burlesque Expo - Saturday Spectacle Supreme,Downtown/Central,501 Old St. Patrick Street,501 Old St. Patrick Street,K1N 8R3,,
Ottawa,2017,6,10,,Canada's Kitchen,Downtown/Central,"335 Laurier Avenue, East","335 Laurier Avenue, East",K1N 6R4,,
Ottawa,2017,5,21,,Kaleigh Watts - Hung Me Dry Album Release Show,Downtown/Central,220 Elgin Street,220 Elgin Street,K2P 1L7,,
Ottawa,2017,5,26,,Mathieu Latreille,Downtown/Central,25 Bruyère Street,25 Bruyère Street,K1N 5C8,,
Ottawa,2017,6,10,,So Long Seven,Hull Sector,432 Boulevard Alexandre-Taché,432 Boulevard Alexandre-Taché,J9A 1M7,,
Ottawa,2017,5,25,,à la carte: The Food on Your Plate ,Downtown/Central,901 Prince of Wales Drive,901 Prince of Wales Drive,K2C 3K1,,
Ottawa,2017,6,3,,The Pop Shop All-Star Mega Fundraising Garage Sale and BBQ,West Ottawa,2 Fallview Court,2 Fallview Court,K2R 1G1,,
Ottawa,2017,6,28,,Strawberry Soirée,Downtown/Central,100 Kent Street,100 Kent Street,K1P 5N9,,
Ottawa,2017,6,18,,Legends & Folklore,Downtown/Central,439 Queen St,439 Queen St,K1R 5A6,,
Ottawa,2017,5,27,,Ottawa Drone Day 2017,Downtown/Central,51 B Young Street,51 B Young Street,K1S 3H6,,
