Address,Host Organization,Notes,Title,Event Type,Event Group,More Info Url,All Dates,Next Date times,Next Date,longitude,latitude,location
1220 9 Avenue SW,51 North Productions Ltd.,"A large annual charity fundraiser during Stampede in an outdoor music festival format featuring performances from world renowned artists. This event runs from 3:00 PM to 11:00 PM, is open to the general public, 18 years of age and older, who must purchase tickets in order to attend.  Admission includes entry into the site, performances from 3 internationally acclaimed recording artists, the ability to purchase a variety of food options and entrance into an official off-site after party.  A portion of the proceeds will be donated to the Canadian Armed Forces recognized charity, the Calgary chapter of the Military Family Resource Centre MFRC, who provide programs and services of prevention, support and intervention services with focus on mental health, family separation and reunification support, counselling and crisis intervention.",Oxford Stomp,Festivals / major events,Event,http://www.oxfordstomp.com,Jul 12 2019 3 - 11 p.m.,July 12 2019 3 - 11 p.m.,2019/07/12,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
1220 9 Avenue SW,51North Productions Ltd.,"A large annual charity fundraiser during Stampede in an outdoor music festival format featuring performances from world renowned artists. This event, which runs from 3:00 PM to 11:00 PM, open to the general public, 18 years of age and older, who must purchase tickets in order to attend.  Admission includes entry into the site, performances from 3 internationally acclaimed recording artists, the ability to purchase a variety of food options and entrance into an official off-site after party.  A portion of the proceeds will be donated to the Canadian Armed Forces recognized charity, the Calgary chapter of the Military Family Resource Centre MFRC, who provide programs and services of prevention, support and intervention services with focus on mental health, family separation and reunification support, counselling and crisis intervention.",The Roundup Musicfest,Festivals / major events,Event,http://www.roundupmusicfest.com,Jul 10 2019 3 - 11 p.m.,July 10 2019 3 - 11 p.m.,2019/07/10,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
1600 32 Avenue NE,City of Calgary,"Juniors 6-17 yrs golf for <strong>free</strong> at McCall Lake Par 3 and Richmond Green when golfing with one paid golfing adult. Four day advanced tee times recommended at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"" target=""_blank"">calgary.ca/golf</a> or call 403-221-3510.  Regular Course hours. Reservations recommended.",Take a Kid to the Course Week,"Admission specials,Athletic / sport,Recreation and leisure",Event,http://www.calgary.ca/golf,Jul 2 2019<br>Jul 3 2019<br>Jul 4 2019<br>Jul 5 2019<br>Jul 6 2019<br>Jul 7 2019,July 2 2019,2019/07/02,-114.01504500025,51.0830809998059,"(51.0830809998059, -114.01504500025)"
2539 33 Avenue SW,City of Calgary,"Juniors 6-17 yrs golf for <strong>free</strong> at Richmond Green and McCall Lake Par 3 when golfing with one paid golfing adult. Four day advanced tee times recommended at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"" target=""_blank"">calgary.ca/golf</a> or call 403-221-3510.  Regular Course hours. Reservations recommended.",Take a Kid to the Course Week,"Admission specials,Athletic / sport,Recreation and leisure",Event,http://www.calgary.ca/golf,Jul 2 2019<br>Jul 3 2019<br>Jul 4 2019<br>Jul 5 2019<br>Jul 6 2019<br>Jul 7 2019,July 2 2019,2019/07/02,-114.121573999938,51.0230909998152,"(51.0230909998152, -114.121573999938)"
3204 Collingwood Drive NW,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  <em>Advanced Level</em><br /><p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jul 25 2019 5:30 - 7:30 p.m.,July 25 2019 5:30 - 7:30 p.m.,2019/07/25,-114.104664999667,51.0800639999825,"(51.0800639999825, -114.104664999667)"
1200 26 Street SW,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  Shaganappi 18 (9 holes only)  <em>Beginner/Intermediate</em> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jul 17 2019 5:30 - 7:30 p.m.,July 17 2019 5:30 - 7:30 p.m.,2019/07/17,-114.123952000395,51.0446350002536,"(51.0446350002536, -114.123952000395)"
1240 Mapleglade Drive SE,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  <em>Advanced Level</em><br /><p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jul 31 2019 5:30 - 7:30 p.m.,July 31 2019 5:30 - 7:30 p.m.,2019/07/31,-114.03301200033,50.950902999919,"(50.950902999919, -114.03301200033)"
5840 19 Street SW,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  <em>Beginner/Intermediate</em> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jul 4 2019 5:30 - 7:30 p.m.,July 4 2019 5:30 - 7:30 p.m.,2019/07/04,-114.105669999773,51.0017140000255,"(51.0017140000255, -114.105669999773)"
385 Skyview Ranch Way NE,Pakistan Punjabi Culture Council Of North America,"Pakistan Punjabi Culture Council Of North America PPCNA to celebrate and honor all mothers of the world on Mother¿s Day, thanking them for their efforts in giving us life, raising us and being our constant supporter. Today Mother's Day is celebrated in several countries including US, UK, India, Pakistan, Bangladesh, Denmark, Finland, Italy, Turkey, Australia, Mexico, Canada, China, Japan, and Belgium. People take the day as an opportunity to pay tribute to their mothers and thank them for all their love and support. The day has become hugely popular and in several countries, phone lines witness maximum traffic. There is also a tradition of gifting flowers, cards and others gift to mothers on the Mother's Day. Our Event aims at building new bridges among different cultures and communities where all are welcome regardless of race, background gender or religion and honor all women belonging different countries and cultures.",Annual South Asian Mother's Day Celebration,Community event,Event,http://abidalipk2000.wixsite.com/mothersday,May 4 2019 12 - 6 p.m.,May 4 2019 12 - 6 p.m.,2019/05/04,-113.965957999752,51.1597159999598,"(51.1597159999598, -113.965957999752)"
222 8 Avenue SE,Disability Pride Alberta,"Disability Pride will be a celebration of people with disabilities. It will be a day of community and inclusion where the attendees will walk, wheel, and ride down 8th avenue and 7th Street SW  together to Olympic Plaza. At Olympic Plaza there will be food, music and several tents set-up with information on disabilities and programs for disabilities.",Disability Pride 2019,,Event,http://Disabilitypridealberta.com,Jun 9 2019 10 a.m. - 2:30 p.m.,June 9 2019 10 a.m. - 2:30 p.m.,2019/06/09,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
27 Prince's Island Path SW,Aga Khan Foundation Canada,"For more than 33 years, Aga Khan Foundation Canada AKFC has worked with Canada and Canadians to sustainably improve the quality of life of poor, marginalized communities in Asia and Africa. In addition to the Walk being a fund-raising event, it is also a way to bring Calgarians together to gain an understanding of the Aga Khan Foundation Canada AKFC and their impact in the developing world. The Walk provides a fun and transformative venue for families. They enjoy a day in the park filled with food, entertainment and joy and they are also given an opportunity to learn about Canada's role in alleviating global poverty. The Walk gives Calgarians a chance to be a Global Citizens.",Aga Khan Foundation Canada - World Partnership Walk,Athletic / sport,Event,http://www.worldpartnershipwalk.com,Jun 16 2019 6 a.m. - 2 p.m.,June 16 2019 6 a.m. - 2 p.m.,2019/06/16,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
1220 9 Avenue SW,VegFest Foundation of Calgary,"Outdoor festival celebration of and education about vegan living in Calgary key components: beer gardens, speakers, music, vendors, family friendly.",VegFest Calgary,Festivals / major events,Event,http://vegfestcalgary.com,Jun 15 2019 12 - 7 p.m.,June 15 2019 12 - 7 p.m.,2019/06/15,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
222 8 Avenue SE,Run Calgary,Sporting Life 10km is Calgary's Fastest 10km road running race hosted by the Calgary Marathon Society CMS. In its second year the event hosted over 1000 runners on the unique net downhill point to point road race. With this being the City's Fastest race over this distance and the course very attainable in nature. Over it will be accessible to many different types of runners with different goals and objectives. The objective of the event is to encourage runners to be competitive with themselves and improve on their running achievements for all abilities and fitness levels and grow the sport of running in Calgary and make it more accessible through an entry level distance race.,Sporting Life 10km,Athletic / sport,Event,https://www.calgarysfastestroadrace.ca/,Jun 15 2019 7 a.m. - 1 p.m.,June 15 2019 7 a.m. - 1 p.m.,2019/06/15,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
223 Castleridge Boulevard NE,Country Thunder Music Festivals,"Country Thunder Alberta is a 3-day music festival held at Prairie Winds Park. Going into its 4th year the festival features the biggest names in Country Music. This year's headliner will be Jason Aldean and with more to be announced in the upcoming months.  Previous performers have included Tim McGraw, Luke Bryan and Eric Church. The B-stage will host Alberta's up and coming country music artists. In addition to music there is 20 plus food, retail and sponsor booths on site to keep patron busy onsite. Country Thunder Alberta is the part of the Country Thunder Music Festivals that has festivals in Saskatchewan, Wisconsin, Florida and Arizona.",Country Thunder Alberta,Festivals / major events,Event,http://countrythunder.com,Aug 16 2019 2 - 11 p.m.<br>Aug 17 2019 2 - 11 p.m.<br>Aug 18 2019 2 - 11 p.m.,August 16 2019 2 - 11 p.m.,2019/08/16,-113.97052899982,51.1042638998331,"(51.1042638998331, -113.97052899982)"
222 8 Avenue SE,Street Church,"March for Jesus brings Christians of every tradition, age, and color, into the streets to celebrate what Jesus has done and to ask God's blessing on our cities. It is nothing more and nothing less than a joyous celebration of our Lord Jesus Christ.  Everyone is welcome to attend.  March for Jesus is a heartfelt praise for Jesus and prayer for cities and nations. It is also a way to celebrate our Heavenly Father at Fathers Day! March for Jesus will start at the Millennium Park gathering place at 1 pm, then together at 2 pm we will then march down 8th Avenue SW to Olympic Plaza. The march will finish around 4:30 pm with a celebration, music, dances, preaching, prayers, feeding the poor, singing and drama. The celebration of our Christian faith will end 10 pm.",March for Jesus,Athletic / sport,Event,http://www.marchforjesus.ca,Jun 16 2019 1 - 10 p.m.,June 16 2019 1 - 10 p.m.,2019/06/16,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
800 Macleod Trail SE,,,Continued Combined Council Meeting,City Council,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953401,Mar 19 2019 1 - 4 p.m.<br>Apr 9 2019 1 - 4 p.m.<br>Apr 30 2019 1 - 4 p.m.<br>May 28 2019 1 - 4 p.m.<br>Jun 18 2019 1 - 4 p.m.<br>Jul 23 2019 1 - 4 p.m.<br>Jul 30 2019 1 - 4 p.m.,March 19 2019 1 - 4 p.m.,2019/03/19,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
27 Prince's Island Path SW,Calgary Pro-Life Association,Fundraiser.  Participants hike around Princes Island Park using pathways. Pledge forms completed ahead of time. Registration and Hike begins and ends at the stage area.,Hike For Life,Athletic / sport,Event,https://www.trumba.com/calendars/map-feeds?eventid=130958635,May 11 2019 8:30 a.m. - 12 p.m.,May 11 2019 8:30 a.m. - 12 p.m.,2019/05/11,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
750 9 Avenue SE,Indigenous Day Live 2019 Inc.,"The Indigenous Day Live concert is Canada¿s biggest celebration of National Indigenous Day June 21 and the vehicle that captures all of this amazingly diverse talent and shares it with all Canadians. This live six-hour concert, along with a 6 x 30 minute best-of series, spotlights all the music, dance, comedy and art of First Nations, Inuit and Metis Peoples.",Indigenous Day Live 2019 Inc.,Festivals / major events,Event,http://www.indigenousdaylive.ca,Jun 22 2019 4 - 11 p.m.,June 22 2019 4 - 11 p.m.,2019/06/22,-114.04392199993,51.044586999793,"(51.044586999793, -114.04392199993)"
222 8 Avenue SE,Arts Commons,"On June 20, 2019 Arts Commons will celebrate the contribution of Canada's Indigenous Peoples with a mini Pow Wow out front of Arts Commons on 8th Ave SE 11:30am to 1:30pm. This event is indigenous led, and supported by the programming, production and front of house teams of Arts Commons, Indigenous programmers and advisers will gather dances from across the Treaty 7 nations to perform various styles of dance. The event will begin with a land acknowledgment and prayer by an elder, and end with an inter-tribal dance where the public can participate. This event is family-friendly, free, and open to all abilities.",Arts Commons Mini Pow Wow,,Event,http://www.artscommons.ca,Jun 20 2019 10 a.m. - 2:30 p.m.,June 20 2019 10 a.m. - 2:30 p.m.,2019/06/20,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
